17 19
4 51
57 44
54 3
11 55
21 49
92 40
11 22
53 43
58 82
25 4
78 97
31 95
33 66
40 24
27 25
26 83
91 47
15 95
74 3
3 26
40 23
25 60
33 61
82 44
80 87
16 50
48 37
41 55
78 95
85 90
10 47
87 99
27 62
91 95
40 61
61 19
58 53
52 88
54 94
98 52
5 33
90 63
75 31
67 88
12 38
69 39
96 28
6 15
23 6
38 66
51 38
3 53
93 91
69 90
78 99
47 72
45 93
98 19
52 97
51 91
77 46
95 60
94 99
10 58
16 32
19 90
31 1
72 70
15 80
10 7
29 78
25 78
49 98
75 12
36 59
8 66
15 41
73 58
51 27
53 72
14 82
40 96
80 74
25 31
6 85
24 86
43 66
16 48
55 78
63 54
78 72
71 16
17 6
61 95
99 80
31 73
5 41
11 85
41 50
82 0
4 8
5 80
34 16
13 37
60 62
73 81
73 72
65 32
0 89
22 52
72 80
11 91
16 50
78 25
83 60
64 43
15 61
91 85
93 99
15 39
36 8
62 74
74 16
96 42
79 41
86 2
5 62
55 52
20 84
21 80
51 24
43 73
9 48
34 63
92 28
52 74
67 84
61 29
86 63
69 62
8 88
26 12
86 12
21 82
47 99
85 64
46 41
69 95
16 41
12 93
89 66
79 64
31 14
49 92
76 2
54 4
69 40
82 32
14 55
64 52
51 23
33 80
15 51
44 56
1 42
66 51
49 67
9 19
27 74
50 28
48 98
62 20
34 62
80 21
19 48
39 93
49 96
99 8
93 31
86 96
5 77
7 84
64 44
81 92
65 15
6 38
67 68
36 49
49 91
6 10
50 46
10 99
84 4
45 8
77 28
33 95
22 98
76 55
8 47
79 57
40 95
48 72
58 68
77 13
63 55
0 98
21 76
89 39
74 49
39 38
14 75
16 19
1 7
97 9
99 48
29 50
81 79
65 67
80 78
21 76
34 36
66 43
42 74
49 99
73 84
22 74
40 73
44 18
89 51
80 92
99 59
32 53
6 14
55 95
8 41
64 68
47 57
85 88
40 77
36 47
59 48
23 21
3 16
76 82
94 53
26 17
17 17
89 15
21 2
95 5
45 53
43 44
93 52
5 67
50 52
89 27
70 42
55 25
98 99
4 10
36 15
49 90
18 66
41 81
48 28
23 91
21 46
54 27
77 41
45 39
5 84
88 65
39 12
59 61
31 80
15 13
39 56
33 52
3 11
49 72
71 27
4 59
85 3
11 11
51 79
48 65
88 82
98 41
75 56
35 0
45 75
26 52
40 7
49 74
95 32
67 48
83 68
19 76
52 84
75 45
89 87
58 1
21 4
65 38
33 54
71 43
83 65
26 49
39 87
48 51
60 5
52 72
26 16
9 19
66 95
96 19
26 24
62 37
74 15
4 86
27 87
21 37
71 13
49 75
18 43
55 65
55 42
30 49
98 50
57 6
20 39
52 27
4 35
27 73
60 73
70 55
85 1
99 73
35 58
52 44
28 58
61 35
9 67
74 77
96 55
38 0
46 2
90 72
10 45
43 22
14 11
5 27
97 46
21 64
68 6
68 90
10 94
56 44
95 31
87 17
86 31
6 94
26 53
41 40
73 24
2 79
48 22
18 11
20 89
10 10
9 44
40 88
47 26
57 77
32 55
88 69
42 64
22 10
26 9
2 33
47 23
81 95
47 53
25 50
63 37
8 64
78 91
28 44
8 62
41 56
5 11
67 13
7 61
25 94
73 57
27 64
0 56
24 63
77 20
11 76
34 87
77 59
96 27
60 33
45 16
81 13
89 71
97 37
60 22
74 41
50 87
69 23
84 31
96 87
80 27
88 30
8 8
48 97
54 42
0 14
38 13
50 83
87 14
93 85
38 32
66 55
15 0
12 5
36 73
87 4
9 79
65 88
37 75
75 24
2 68
3 94
45 24
50 86
56 7
32 73
4 22
47 6
82 16
98 56
6 76
90 4
40 55
69 34
49 34
15 73
34 2
8 90
86 28
46 47
3 81
63 5
42 33
48 18
93 68
1 14
58 32
63 14
47 55
5 64
92 25
65 41
82 48
62 20
23 96
5 52
51 12
0 95
43 91
22 38
73 6
56 2
29 72
9 72
69 88
61 53
45 81
62 43
82 97
7 69
2 14
46 15
54 71
31 85
31 58
1 78
45 5
97 53
68 82
18 35
56 36
85 52
8 55
65 9
79 33
20 49
73 95
73 22
50 16
51 70
80 80
89 20
76 94
75 97
78 39
44 7
89 63
